Model,accuracy,balanced_accuracy,sensitivity,specificity,precision_ppv,npv,f1,roc_auc,brier_score,TN,FP,FN,TP
Improved CNN,0.8173076923076923,0.7658119658119658,0.9717948717948718,0.5598290598290598,0.7863070539419087,0.9225352112676056,0.8692660550458715,0.920195047118124,0.14070889353752136,131,103,11,379
ResNet-18,0.8301282051282052,0.7743589743589744,0.9974358974358974,0.5512820512820513,0.7874493927125507,0.9923076923076923,0.8800904977375565,0.9569471838702608,0.14493660628795624,129,105,1,389
