Model,accuracy,balanced_accuracy,sensitivity,specificity,precision_ppv,npv,f1,roc_auc,brier_score,TN,FP,FN,TP
Improved CNN,0.7756410256410257,0.7068376068376068,0.982051282051282,0.43162393162393164,0.7422480620155039,0.9351851851851852,0.8454746136865342,0.9171159325005479,0.16831858456134796,101,133,7,383
ResNet-18,0.8637820512820513,0.8303418803418803,0.9641025641025641,0.6965811965811965,0.8411633109619687,0.9209039548022598,0.8984468339307049,0.943874643874644,0.09764290601015091,163,71,14,376
